town,page,url,property_type,price,address,postal_code,city,bedrooms,bedroom1_surface,bedroom2_surface,bathrooms,toilets,surface_livable,terrace,terrace_surface,terrace_orientation,floor,year_built,condition,kitchen_equipment,cellar,glazing_type,elevator,entry_phone,epc_score,epc_total,epc_valid_until 
brussel,5,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc89486,Apartment,235 000 €,Boulevard d'Anvers 20 1.1 1000 Brussels,20,Brussels,1,,,1,,76 m²,Yes,,,1,1970,Normal,,No,Double glass,Yes,Yes,212 kWh/m²/year,16162 kWh/year,18/11/2031
brussel,5,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc89544,Apartment,250 000 €,Rue du Fossé aux Loups 28b 1000 Brussels,1000,Brussels,1,,,1,1,68 m²,,,,6,1957,,,No,,No,,248 kWh/m²/year,,04/06/2035
brussel,5,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vwd13885,Apartment,495 000 €,Square Marie Louise 33 1000 Brussels,33,Brussels,2,,,,,104 m²,,,,,,Excellent,,,Double glass,Yes,,112 kWh/m²/year,,01/05/2035
brussel,5,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbt69189,Apartment,255 000 €,Prudent Bolslaan 71 6 1020 Laken,71,Laken,,,,,,,Yes,,,0,1939,,,,,No,,425 kWh/m²/year,,
brussel,5,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbt69653,Apartment,Make offer from 610 000 €,Avenue des Pagodes 1 1020 Laken,1,Laken,3,,,,,,Yes,31 m²,,4,,New,,No,,,,,,
brussel,5,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbt69654,Apartment,Make offer from 299 000 €,Avenue des Pagodes 1 1020 Laken,1,Laken,3,,,,,,Yes,31 m²,,4,,New,,No,,,,,,
brussel,5,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbt69655,Apartment,Make offer from 605 000 €,Avenue des Pagodes 1 1020 Laken,1,Laken,4,,,,,,Yes,11 m²,,1,,New,,No,,,,,,
brussel,5,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc89226,Apartment,Make offer from 185 000 €,Avenue Mutsaard 74 13 1020 Laken,74,Laken,2,14 m²,9 m²,1,1,,Yes,20 m²,,4,,To be renovated,,,Double glass,Yes,Yes,,,
brussel,5,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbc89179,Duplex,650 000 €,Rue Philippe Le Bon 26 A03 1000 Brussels,26,Brussels,3,15 m²,16 m²,2,2,160 m²,Yes,,,0,1980,Normal,,,Double glass,Yes,,172 kWh/m²/year,,
brussel,5,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbc89180,Duplex,595 000 €,Rue Philippe Le Bon 24/28 1000 Brussels,1000,Brussels,2,15 m²,15 m²,2,2,145 m²,Yes,3 m²,,4,1990,Normal,Super equipped,Yes,Double glass,Yes,Yes,166 kWh/m²/year,21503 kWh/year,20/05/2032
